artist_count,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,mode_Major,mode_Minor,main_artist,clusters
0.1428571428571428,0.0381703702729033,0.4255319148936169,0.7808219178082192,0.913978494623656,0.8409090909090909,0.3195876288659793,0.0,0.0531914893617021,0.032258064516129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4628820960698689,0
0.0,0.0361008130735308,0.1914893617021276,0.6575342465753424,0.6129032258064517,0.7386363636363636,0.0721649484536082,0.0,0.0744680851063829,0.032258064516129,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6048034934497817,14
0.0,0.0377984023850853,0.5177304964539007,0.3835616438356163,0.3010752688172043,0.5,0.1752577319587628,0.0,0.2978723404255319,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6550218340611353,8
0.0,0.2162152642519915,0.7446808510638298,0.4383561643835615,0.5806451612903226,0.7159090909090909,0.1134020618556701,0.0,0.0851063829787234,0.2096774193548387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8646288209606986,11
0.0,0.0818688920888907,0.5602836879432623,0.5753424657534247,0.2043010752688172,0.8068181818181819,0.1443298969072164,0.6923076923076924,0.0851063829787234,0.064516129032258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0764192139737991,4
0.1428571428571428,0.0495974117295017,0.5390070921985816,0.9452054794520548,0.6666666666666667,0.5568181818181818,0.1958762886597938,0.0,0.0531914893617021,0.3548387096774194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1965065502183406,14
0.1428571428571428,0.196003903150195,0.5886524822695035,0.6027397260273972,0.849462365591398,0.7613636363636364,0.4948453608247423,0.0,0.0531914893617021,0.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2576419213973799,12
0.0,0.0156987868712096,0.2482269503546099,0.6027397260273972,0.2365591397849462,0.7045454545454546,0.3814432989690721,0.0,0.0851063829787234,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7161572052401747,8
0.0,0.0257066202199023,0.4609929078014184,0.8493150684931507,0.1935483870967742,0.6022727272727273,0.1237113402061855,0.0,0.2659574468085106,0.1129032258064516,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3034934497816594,21
0.1428571428571428,0.1494728405591939,0.7446808510638298,0.7945205479452055,0.5591397849462366,0.4431818181818181,0.2164948453608247,0.0,0.0531914893617021,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6899563318777292,20
0.1428571428571428,0.136523590159929,0.127659574468085,0.4657534246575343,0.5591397849462366,0.7159090909090909,0.2371134020618556,0.0,0.2553191489361702,0.0483870967741935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0764192139737991,1
0.0,0.0157273438569668,0.6028368794326241,0.7534246575342465,0.5161290322580646,0.8295454545454546,0.1855670103092783,0.0,0.1276595744680851,0.0806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6331877729257641,12
